# id	verdict	source_key	w	h	top_rel_path	score	detail
rtc_0011		039401C7010401E4	20	20	1d616932_83d1094e_20_20_0.png	0.446311	attr=0x50000040 texHW=916 texY=455 tpl=20x20 clutXY=272,496 tpage=0x001E clut=0x7C11 rect=80,199,20,20 keySub=0,0
rtc_0012		039901C7010401E5	20	20	4228383c_8bb7eb74_20_20_0.png	0.206284	attr=0x50000040 texHW=921 texY=455 tpl=20x20 clutXY=272,497 tpage=0x001E clut=0x7C51 rect=100,199,20,20 keySub=0,0
rtc_0013		039401DB010401E4	20	20	1d616932_83d1094e_20_20_0.png	0.353594	attr=0x50000040 texHW=916 texY=475 tpl=20x20 clutXY=272,496 tpage=0x001E clut=0x7C11 rect=80,219,20,20 keySub=0,0
rtc_0014		039901DB010401E5	20	20	4228383c_8bb7eb74_20_20_0.png	0.376847	attr=0x50000040 texHW=921 texY=475 tpl=20x20 clutXY=272,497 tpage=0x001E clut=0x7C51 rect=100,219,20,20 keySub=0,0
rtc_0015		039E01EB010401E4	20	20	1d616932_83d1094e_20_20_0.png	0.417629	attr=0x50000040 texHW=926 texY=491 tpl=20x20 clutXY=272,496 tpage=0x001E clut=0x7C11 rect=120,235,20,20 keySub=0,0
rtc_0016		03A301EB010401E5	20	20	4228383c_8bb7eb74_20_20_0.png	0.280983	attr=0x50000040 texHW=931 texY=491 tpl=20x20 clutXY=272,497 tpage=0x001E clut=0x7C51 rect=140,235,20,20 keySub=0,0
rtc_0017		03B70173010401F5	20	20	67cf2cfc_1dca5370_20_20_0.png	0.381186	attr=0x10000040 texHW=951 texY=371 tpl=20x20 clutXY=272,481 tpage=0x001E clut=0x7851 rect=220,115,20,20 keySub=0,0
rtc_0018		03B7015F010401F6	20	20	43837b17_9e68a7c0_20_20_0.png	0.401241	attr=0x10000040 texHW=951 texY=351 tpl=20x20 clutXY=272,482 tpage=0x001E clut=0x7891 rect=220,95,20,20 keySub=0,0
rtc_0019		03B70187010401F6	20	20	43837b17_9e68a7c0_20_20_0.png	0.401933	attr=0x10000040 texHW=951 texY=391 tpl=20x20 clutXY=272,482 tpage=0x001E clut=0x7891 rect=220,135,20,20 keySub=0,0
rtc_0020		03B7014B010401F5	20	20	67cf2cfc_1dca5370_20_20_0.png	0.304151	attr=0x10000040 texHW=951 texY=331 tpl=20x20 clutXY=272,481 tpage=0x001E clut=0x7851 rect=220,75,20,20 keySub=0,0
rtc_0021		03B7019B010401F5	20	20	67cf2cfc_1dca5370_20_20_0.png	0.435990	attr=0x10000040 texHW=951 texY=411 tpl=20x20 clutXY=272,481 tpage=0x001E clut=0x7851 rect=220,155,20,20 keySub=0,0
rtc_0022		03B201D7010401F6	20	20	43837b17_9e68a7c0_20_20_0.png	0.460077	attr=0x10000040 texHW=946 texY=471 tpl=20x20 clutXY=272,482 tpage=0x001E clut=0x7891 rect=200,215,20,20 keySub=0,0
rtc_0023		03B701C3010401F5	20	20	67cf2cfc_1dca5370_20_20_0.png	0.439099	attr=0x10000040 texHW=951 texY=451 tpl=20x20 clutXY=272,481 tpage=0x001E clut=0x7851 rect=220,195,20,20 keySub=0,0
rtc_0024		03B201C3010401F5	20	20	67cf2cfc_1dca5370_20_20_0.png	0.342454	attr=0x10000040 texHW=946 texY=451 tpl=20x20 clutXY=272,481 tpage=0x001E clut=0x7851 rect=200,195,20,20 keySub=0,0
rtc_0025		03B701AF010401F6	20	20	43837b17_9e68a7c0_20_20_0.png	0.296363	attr=0x10000040 texHW=951 texY=431 tpl=20x20 clutXY=272,482 tpage=0x001E clut=0x7891 rect=220,175,20,20 keySub=0,0
rtc_0026		03B201AF010401F6	20	20	43837b17_9e68a7c0_20_20_0.png	0.428909	attr=0x10000040 texHW=946 texY=431 tpl=20x20 clutXY=272,482 tpage=0x001E clut=0x7891 rect=200,175,20,20 keySub=0,0
rtc_0027		03B701D7010401F6	20	20	43837b17_9e68a7c0_20_20_0.png	0.357374	attr=0x10000040 texHW=951 texY=471 tpl=20x20 clutXY=272,482 tpage=0x001E clut=0x7891 rect=220,215,20,20 keySub=0,0
rtc_0028		03B2019B010401F5	20	20	67cf2cfc_1dca5370_20_20_0.png	0.423232	attr=0x10000040 texHW=946 texY=411 tpl=20x20 clutXY=272,481 tpage=0x001E clut=0x7851 rect=200,155,20,20 keySub=0,0
rtc_0029		03B2014B010401E6	20	20	67cf2cfc_1dca5370_20_20_0.png	0.278508	attr=0x00000040 texHW=946 texY=331 tpl=20x20 clutXY=272,498 tpage=0x001E clut=0x7C91 rect=200,75,20,20 keySub=0,0
rtc_0030		03B2015F010401E7	20	20	67cf2cfc_1dca5370_20_20_0.png	0.287203	attr=0x00000040 texHW=946 texY=351 tpl=20x20 clutXY=272,499 tpage=0x001E clut=0x7CD1 rect=200,95,20,20 keySub=0,0
rtc_0031		03B20173010401E0	20	20	67cf2cfc_1dca5370_20_20_0.png	0.282917	attr=0x00000040 texHW=946 texY=371 tpl=20x20 clutXY=272,500 tpage=0x001E clut=0x7D11 rect=200,115,20,20 keySub=0,0
rtc_0032		03B20187010401E1	20	20	67cf2cfc_1dca5370_20_20_0.png	0.269678	attr=0x00000040 texHW=946 texY=391 tpl=20x20 clutXY=272,501 tpage=0x001E clut=0x7D51 rect=200,135,20,20 keySub=0,0
rtc_0033		03800163010401F0	20	20	67cf2cfc_1dca5370_20_20_0.png	0.292653	attr=0x10000040 texHW=896 texY=355 tpl=20x20 clutXY=272,484 tpage=0x001E clut=0x7911 rect=0,99,20,20 keySub=0,0
rtc_0034		03850163010401F1	20	20	67cf2cfc_1dca5370_20_20_0.png	0.299105	attr=0x10000040 texHW=901 texY=355 tpl=20x20 clutXY=272,485 tpage=0x001E clut=0x7951 rect=20,99,20,20 keySub=0,0
rtc_0035		038A0163010401F2	20	20	67cf2cfc_1dca5370_20_20_0.png	0.296164	attr=0x10000040 texHW=906 texY=355 tpl=20x20 clutXY=272,486 tpage=0x001E clut=0x7991 rect=40,99,20,20 keySub=0,0
rtc_0036		038F0163010401F3	20	20	67cf2cfc_1dca5370_20_20_0.png	0.278048	attr=0x10000040 texHW=911 texY=355 tpl=20x20 clutXY=272,487 tpage=0x001E clut=0x79D1 rect=60,99,20,20 keySub=0,0
rtc_0037		03800177016801F8	120	20	d6171f5a_2e50174a_120_20_0.png	0.282767	attr=0x10000040 texHW=896 texY=375 tpl=120x20 clutXY=272,492 tpage=0x001E clut=0x7B11 rect=0,119,120,20 keySub=0,0
rtc_0038		0380018B016801F9	120	20	0ded9657_e11295bc_120_20_0.png	0.262923	attr=0x10000040 texHW=896 texY=395 tpl=120x20 clutXY=272,493 tpage=0x001E clut=0x7B51 rect=0,139,120,20 keySub=0,0
